tier,domain,country,name,listed_by,platform,access,catalogue_size,size_source,brand_hits,shop_signals,glaze_urls,score,url,note
C,richinc.com,United States,R.I.C.H. Incorporated,amaco,unknown,,736,sitemap product urls,standard:24;laguna:2,cart,265,1079,https://richinc.com,
C,aardvarkclay.com,United States,Aardvark Clay & Supplies,amaco/mayco,unknown,,500,sitemap urls,amaco:18,cart,500,1054,https://aardvarkclay.com,
C,thekilndoctor.com,United States,The Kiln Doctor Incorporated,amaco,unknown,,483,sitemap product urls,amaco:9;mayco:3;standard:2;laguna:1,product urls,488,1016,https://www.thekilndoctor.com,
C,magpieartsllc.com,United States,Magpie Arts,spectrum,unknown,,831,sitemap product urls,mayco:1;amaco:1;spectrum:1;coyote:1,product urls,134,977,https://www.magpieartsllc.com,
C,potterylanegr.com,United States,Pottery Lane,mayco/spectrum,woocommerce,,467,sitemap urls,,,467,934,https://potterylanegr.com,
C,clayartsvegas.com,United States,Clay Arts Vegas,mayco/spectrum,wix,,477,sitemap urls,,cart,198,675,https://www.clayartsvegas.com/,
C,oasispottery.com,United States,Oasis Pottery,amaco,wix,,437,sitemap urls,speedball:5;amaco:1;laguna:1;georgies:1,cart,179,640,https://www.oasispottery.com/,
C,thirdbranchpotterysupply.com,United States,Third Branch Pottery Supply,amaco/mayco,wix,,379,sitemap urls,,cart,195,574,https://www.thirdbranchpotterysupply.com/,
C,sullivanpotteryhsv.com,United States,Sullivan Pottery,amaco,wix,,315,sitemap urls,amaco:3,cart,162,486,https://www.sullivanpotteryhsv.com/,
C,freeformclay.com,United States,Free Form Clay & Supply,amaco/mayco,wix,,203,sitemap urls,,cart,203,406,https://www.freeformclay.com/,
C,silversageceramics.com,United States,Silver Sage Ceramics,amaco/mayco,wix,,302,sitemap urls,,cart,46,348,https://www.silversageceramics.com/,
C,unitedindustrialsales.com,United States,United Industrial Sales,amaco,unknown,,250,sitemap product urls,standard:16,cart,1,299,https://unitedindustrialsales.com/Home.aspx,
C,hobbyhutceramics.com,United States,Hobby Hut Ceramics,mayco,wordpress,,121,sitemap urls,coyote:1,,121,245,https://hobbyhutceramics.com,
C,fatcatpottery.com,United States,Fat Cat Pottery,amaco/mayco/spectrum,magento,,138,sitemap urls,mayco:2,cart,56,200,https://www.fatcatpottery.com/,
C,brackers.com,United States,Bracker’s Good Earth,amaco/mayco/spectrum,woocommerce,,18,sitemap product urls,amaco:11;spectrum:8;laguna:3;coyote:3;duncan:1;standard:1,product urls,91,190,https://www.brackers.com/,
C,manassasclay.com,United States,Tin Barn Pottery,amaco,wordpress,,93,sitemap urls,,,93,186,https://manassasclay.com,
C,bklynclay.com,United States,BKLYN Clay LLC,amaco/mayco,magento,,26,sitemap product urls,mayco:1,cart,135,164,https://bklynclay.com,
C,act3pottery.com,United States,Act 3 Pottery & Supplies,mayco,unknown,,68,sitemap product urls,laguna:1,product urls,78,149,https://www.act3pottery.com,
C,santatheresatileworks.com,United States,Santa Theresa Tileworks,spectrum,squarespace,,143,sitemap urls,,cart,0,143,https://www.santatheresatileworks.com/,
C,rustykiln.com,United States,Rusty Kiln Pottery Studio,amaco,unknown,,40,sitemap urls,laguna:6;mayco:5;amaco:5,,40,128,https://rustykiln.com,
C,queencityclay.com,United States,QUEEN CITY CLAY,amaco/mayco/spectrum,woocommerce,,61,sitemap urls,,,61,122,https://www.queencityclay.com/,
C,pottersplacepottery.com,United States,Potter's Place,amaco,wordpress,,52,sitemap urls,,,52,104,https://pottersplacepottery.com,
C,compositescanada.com,Canada,Composites Canada ULC,amaco,woocommerce,,102,sitemap urls,,,0,102,https://compositescanada.com,
C,sial-canada.com,Canada,Sial ltee,amaco/mayco/spectrum,unknown,,100,sitemap urls,,,0,100,https://sialart.com/en,
C,theartcoop.com,United States,Art Coop Incorporated,amaco,unknown,,90,sitemap product urls,,cart,1,91,https://www.theartcoop.com/,
C,portlandpottery.com,United States,Portland Pottery,amaco/mayco,magento,,53,sitemap urls,mayco:1;amaco:1;speedball:1;laguna:1;standard:1,cart,18,86,https://portlandpottery.com,
C,atlanticpotterysupply.com,United States,"Atlantic Pottery Supply, Inc.",amaco/mayco/spectrum,wix,,46,sitemap urls,,cart,30,76,https://www.atlanticpotterysupply.com/,
C,eca.bz,United States,Eca Educational Services,amaco,wix,,62,sitemap urls,,cart,1,63,https://www.eca.bz/,
C,thetiltedkiln.com,United States,The Tilted Kiln,amaco,wordpress,,24,sitemap urls,,,24,48,https://thetiltedkiln.com/,
C,turnagainceramics.com,United States,Turnagain Ceramics,amaco,unknown,,12,sitemap product urls,,product urls,34,46,https://www.turnagainceramics.com,
C,alleykatceramics.com,United States,"AlleyKat Ceramics, LLC",amaco/mayco,unknown,,22,sitemap urls,,,22,44,https://alleykatceramics.com,
C,magnoliapotterysupply.com,United States,Magnolia Pottery Supply,spectrum,wix,,34,sitemap urls,,cart,0,34,https://www.magnoliamolds.com/,
C,magnoliamolds.com,United States,Magnolia Molds & Pottery,amaco,wix,,34,sitemap urls,,cart,0,34,https://www.magnoliamolds.com/,
C,davidartcenter.com,United States,David Art Center,amaco,magento,,32,sitemap urls,,cart,1,33,https://www.davidartcenter.com/,
C,vermontceramic.com,United States,Vermont Ceramics LLC,mayco,magento,,30,sitemap urls,,cart,3,33,https://www.vermontceramic.com/,
C,abovegroundartsupplies.com,Canada,Aboveground Art Supplies,amaco,wordpress,,32,sitemap urls,,,0,32,https://www.abovegroundartsupplies.com/,
C,ceramicscanada.net,Canada,Ceramics Canada,amaco/mayco,wordpress,,13,sitemap urls,,,13,26,https://ceramicscanada.net,
C,michiganartcenter.com,United States,Michigan Art Center,mayco,unknown,,17,sitemap product urls,amaco:1,cart,5,25,https://michiganartcenter.com,
C,amherstpotters.com,United States,Amherst Potters Supply,amaco,unknown,,13,sitemap urls,,,6,19,https://amherstpotters.com,
C,paoliclaycompany.com,United States,Paoli Clay Company,amaco,unknown,,9,sitemap urls,,,9,18,https://paoliclaycompany.com,
C,thehouseofclay.com,United States,House of Clay,amaco/mayco,unknown,,8,sitemap urls,,,8,16,https://thehouseofclay.com,
C,flclay.com,United States,Florida Clay Art Co.,amaco/mayco,unknown,,6,sitemap urls,,,6,12,https://flclay.com,
C,pattysceramics.com,United States,Patty’s Ceramics,mayco,wix,,6,sitemap urls,,cart,5,11,https://www.pattysceramics.com/,
C,texaspottery.com,United States,Texas Pottery Supply & Clay Company,amaco/spectrum,wordpress,,1,sitemap product urls,,product urls,9,10,https://texaspottery.com,
C,plainsmanclays.com,Canada,PLAINSMAN CLAY,amaco/spectrum,wix,,5,sitemap urls,,cart,5,10,https://www.plainsmanclays.com/,
C,greenbarn.com,Canada,Greenbarn Pottery,amaco/spectrum,wix,,5,sitemap urls,,cart,5,10,https://www.plainsmanclays.com/,
C,ceramic-cottage.com,United States,Ceramic Cottage,amaco/mayco,unknown,,5,sitemap urls,,,4,9,https://ceramic-cottage.com,
C,creativeartscenter.net,United States,Creative Arts Center,mayco,unknown,,9,sitemap urls,,cart,0,9,https://creativeartscenter.net,
C,crustybrush.com,United States,PINEDALE ARTS & CRAFTS,spectrum,unknown,,8,sitemap urls,,,0,8,https://crustybrush.com,
C,davensceramiccenter.com,United States,Davens Ceramic Center,amaco/mayco/spectrum,wix,,3,sitemap urls,,,3,6,https://www.davensceramiccenter.com/,
C,thevillagepotters.com,United States,The Village Potters,amaco,woocommerce,,1,sitemap product urls,,cart,3,4,https://thevillagepotters.com,
C,byemor.com,United States,Bye-Mor Incorporated,amaco,unknown,,2,sitemap urls,,,0,2,https://byemor.com,
C,georgies.com,United States,Georgie’s Ceramics,amaco/mayco/spectrum,unknown,,1,sitemap urls,,cart,0,1,https://georgies.com,
C,educatorsresource.com,United States,Educators Resource,amaco,woocommerce,,1,sitemap product urls,,product urls,0,1,https://educatorsresource.com,
C,stoneleafpottery.com,United States,Stone Leaf Pottery,amaco/mayco/spectrum,bigcommerce,,0,,,cart,0,0,https://stoneleafpottery.com/,
C,continentalclay.com,United States,Continental Clay Co.,amaco/mayco/spectrum,unknown,,0,,,cart,0,0,https://www.continentalclay.com/,
C,stores.bercherceramicsupply.com,United States,BERCHER CERAMIC SUPPLY,amaco/spectrum,unknown,,0,,,cart,0,0,https://stores.bercherceramicsupply.com/,
C,clayartcenter.net,United States,CLAY ART CENTER,amaco/mayco/spectrum,woocommerce,,0,,,cart,0,0,https://clayartcenter.net,
C,enasco.com,United States,NASCO,mayco/spectrum,magento,,0,,,cart,0,0,https://www.nascoeducation.com/,
C,artistcraftsman.com,United States,Artstock,amaco,bigcommerce,,0,,,cart,0,0,https://artistcraftsman.com,
C,cwhaydenonline.com,United States,C W Hayden Company,amaco,magento,,0,,,cart,0,0,https://www.cwhaydenonline.com,
C,shop.clay-planet.com,United States,Clay Planet,amaco/mayco,unknown,,0,,,cart,0,0,https://shop.clay-planet.com,
C,miaceramicsandclaysupplies.com,United States,Miami Ceramics And Clay,amaco/mayco,bigcommerce,,0,,,cart,0,0,https://miaceramicsandclaysupplies.com/,
C,nascoeducation.com,United States,"Nasco Education, LLC",amaco,magento,,0,,,cart,0,0,https://www.nascoeducation.com/,
C,servicereproduction.com,United States,Service Reproduction Company,amaco,bigcommerce,,0,,,cart,0,0,https://www.servicereproduction.com/,
C,ceramicarts.com,Canada,"Ceramic Arts, Inc.",amaco/mayco,bigcommerce,,0,,,cart,0,0,https://ceramicarts.com/,
C,bercherceramicsupply.com,United States,"Bercher Ceramic Supply, Inc",mayco,unknown,,0,,,cart,0,0,https://stores.bercherceramicsupply.com/,
C,clayandpotterysupplies.com,Canada,Clay and Pottery Supplies,mayco,opencart,,0,,,cart,0,0,https://clayandpotterysupplies.com,
D,axner.com,United States,Axner Co.,amaco/spectrum,unknown,,0,,,,0,0,https://www.axner.com/,
D,evansceramics.com,United States,Evans Ceramic Supply,amaco/mayco/spectrum,unknown,,0,,,,0,0,https://evansceramics.com,homepage 403 (WAF; needs a browser)
D,runyanpotterysupply.com,United States,Runyan Pottery Supply,amaco/mayco/spectrum,unknown,,0,,,,0,0,https://runyanpotterysupply.com,
D,dogwoodceramics.com,United States,Dogwood Ceramics,mayco/spectrum,unknown,,0,,,,0,0,https://dogwoodceramics.com,homepage 403 (WAF; needs a browser)
D,nmclay.com,United States,New Mexico Clay,amaco/mayco/spectrum,unknown,,0,,,,0,0,https://nmclay.com,homepage 403 (WAF; needs a browser)
D,baileypottery.com,United States,Bailey Pottery,amaco/mayco/spectrum,unknown,,0,,,,0,0,https://baileypottery.com,homepage 403 (WAF; needs a browser)
D,advanced-plastics.com,United States,"Advanced Plastics, Inc.",amaco,unknown,,0,,,,0,0,https://advanced-plastics.com,
D,artmaterialsservice.com,United States,Art Materials Service Incorporated,amaco,unknown,,0,,,,0,0,http://artmaterialsservice.com,
D,allartsupplies.com,United States,Art Supplies Wholesale,amaco,unknown,,0,,,,0,0,https://allartsupplies.com,
D,artsupplywarehouse.com,United States,Art Supply Warehouse,amaco,unknown,,0,,,,0,0,https://artsupplywarehouse.com,
D,bostonkiln.com,United States,Boston Kiln Sales & Services,amaco,unknown,,0,,,,0,0,https://bostonkiln.com,
D,brickyardceramics.com,United States,Brickyard Ceramics and Crafts,amaco/mayco,unknown,,0,,,,0,0,http://brickyardceramics.com,
D,carolinaclay.com,United States,Carolina Clay Connection,amaco/mayco,shopify,,0,,,,0,0,https://carolinaclay.com/password,
D,clay-mix.com,United States,Clay Mix,amaco,unknown,,0,,,,0,0,https://clay-mix.com,
D,columbusclay.com,United States,Columbus Clay Company,amaco/mayco,unknown,,0,,,,0,0,https://columbusclay.com,homepage 403 (WAF; needs a browser)
D,dandhceramics.com,United States,D & H Ceramics,amaco/mayco,unknown,,0,,,,0,0,http://dandhceramics.com,
D,dakotapotters.com,United States,Dakota Potter's Supply,amaco/mayco,unknown,,0,,,,0,0,https://dakotapotters.com/site-cannot-be-accessed-from-your-current-location.html,
D,fortpottery.com,United States,Fort Pottery Company,amaco,unknown,,0,,,,0,0,https://fortpottery.com,
D,hartacehardware.com,United States,Hart Ace Hardware,amaco,wordpress,,0,,,,0,0,https://hartacehardware.com,
D,hobbylobby.com,United States,Hobby Lobby Incorporated Warehouse,amaco,unknown,,0,,,,0,0,https://www.hobbylobby.com/,homepage 403 (WAF; needs a browser)
D,internationalmoulding.com,United States,International Moulding,amaco,unknown,,0,,,,0,0,https://internationalmoulding.com,
D,batterdenkilns.com,United States,Jay Batterden,amaco,unknown,,0,,,,0,0,https://batterdenkilns.com,
D,joann.com,United States,Jo-Ann Stores Incorporated,amaco,unknown,,0,,,,0,0,https://www.michaels.com/lp/welcome-joann?joannweb,homepage 403 (WAF; needs a browser)
D,kurtzbros.com,United States,Kurtz Brothers,amaco,unknown,,0,,,,0,0,https://www.kurtzbros.com/,homepage 403 (WAF; needs a browser)
D,michaels.com,United States,Michaels Stores,amaco,unknown,,0,,,,0,0,https://www.michaels.com/,homepage 403 (WAF; needs a browser)
D,nu-idea.com,United States,Nu-Idea School Supply,amaco,unknown,,0,,,,0,0,https://www.nu-idea.com/,
D,pa-dist.com,United States,Petersen-Arne,amaco,unknown,,0,,,,0,0,https://pa-dist.com/SignIn,
D,slsarts.com,United States,S L S Arts Incorporated,amaco,unknown,,0,,,,0,0,https://slsarts.com,
D,sculpt.com,United States,The Compleat Sculptor Incorporated,amaco,unknown,,0,,,,0,0,https://sculpt.com,
D,virco.com,United States,Virco Manufacturing Corporation,amaco,unknown,,0,,,,0,0,https://virco.com,homepage 403 (WAF; needs a browser)
D,wbmason.com,United States,W. B. Mason Company Incorporated,amaco,unknown,,0,,,,0,0,https://wbmason.com/,
D,picturedepot.ca,Canada,Picture Depot Incorporated,amaco,unknown,,0,,,,0,0,http://picturedepot.ca/login?ReturnUrl=%2f,
D,facebook.com,United States,Allen’s Ceramics,mayco,unknown,,0,,,,0,0,https://www.facebook.com/,
D,hyatts.com,United States,Hyatt’s Graphic Supply Co.,mayco,unknown,,0,,,,0,0,https://www.hyatts.com/,
D,kochceramics.com,United States,Koch Ceramics,mayco,unknown,,0,,,,0,0,https://kochceramics.com,homepage 403 (WAF; needs a browser)
D,nelliedogpottery.com,United States,Nellie Dog Pottery and Paints,mayco,unknown,,0,,,,0,0,https://nelliedogpottery.com,homepage 403 (WAF; needs a browser)
D,rochesterceramics.com,United States,"Rochester Ceramics, Inc",mayco,unknown,,0,,,,0,0,https://rochesterceramics.com,
D,spectrumeducational.co.uk,Canada,Spectrum Educational Supplies Limited,mayco,unknown,,0,,,,0,0,https://spectrumeducational.co.uk,
D,westsceramicsupply.com,United States,"West’s Ceramic Supply, Inc.",mayco,unknown,,0,,,,0,0,https://expireddomains.com/domain/westsceramicsupply.com?utm_source=redi,
X,eceramicsupply.com,United States,Ceramic Supply Inc.,spectrum,unknown,,0,,,,0,0,https://eceramicsupply.com,unreachable
X,bestkindofmudshop.com,Canada,Best Kind of Mud,spectrum,unknown,,0,,,,0,0,https://bestkindofmudshop.com,unreachable
X,tuckerspotteryeshop.com,Canada,Tucker’s Pottery,spectrum,unknown,,0,,,,0,0,https://tuckerspotteryeshop.com,unreachable
X,cascadeschoolsupplies.com,United States,Cascade School Supplies,amaco,unknown,,0,,,,0,0,https://cascadeschoolsupplies.com,unreachable
X,store.ceramicstoreinc.com,United States,Ceramic Store of Houston,amaco,unknown,,0,,,,0,0,https://store.ceramicstoreinc.com,unreachable
X,commercialartsupply.com,United States,Commercial Art Supply,amaco,unknown,,0,,,,0,0,https://commercialartsupply.com,unreachable
X,decormoulding.com,United States,Decor Moulding Ltd,amaco,unknown,,0,,,,0,0,https://decormoulding.com,unreachable
X,larsonjuhl.com,United States,Larson-Juhl,amaco,unknown,,0,,,,0,0,https://larsonjuhl.com,unreachable
X,macphersonart.com,United States,Macpherson Wholesale District,amaco,unknown,,0,,,,0,0,https://macphersonart.com,unreachable
X,marlynceramics.com,United States,Mar-Lyn Ceramics,amaco/mayco,unknown,,0,,,,0,0,https://marlynceramics.com,unreachable
X,southern-pottery-equipment-amp-supplies.shoplightspeed.com,United States,Southern Pottery Equipment & Supplies,amaco,unknown,,0,,,,0,0,https://southern-pottery-equipment-amp-supplies.shoplightspeed.com,unreachable
X,midohioceramicsupply.com,United States,The Kiln Room,amaco,unknown,,0,,,,0,0,https://midohioceramicsupply.com,unreachable
X,allisonceramicsupply.com,United States,"Allison Ceramic Supply, Inc.",mayco,unknown,,0,,,,0,0,https://allisonceramicsupply.com,unreachable
X,claudiasmudhut.wixsite.com,United States,Claudia’s Mud Hut,mayco,unknown,,0,,,,0,0,https://claudiasmudhut.wixsite.com,unreachable
X,tel,United States,Midwest Ceramics LLC,mayco,unknown,,0,,,,0,0,https://tel,unreachable
